role,title,company,city_clean,region,country,job_count
Data Scientist,Data Transformation Lead (f/m/d),Siemens Energy Global GmbH & Co. KG,Mülheim An Der Ruhr,,Germany,1
Data Scientist,Document and Data Manager (m/w/d),Hays Professional Solutions GmbH Standort Nürnberg,Nürnberg,Mittelfranken,Germany,1
Data Scientist,Global Data Analyst (m/f/d),Advantest Europe GmbH,Böblingen,,Germany,1
Data Scientist,Teamlead Data Analyst (m/w/d),GOLDNER GmbH,Münchberg,Oberfranken,Germany,1
Data Scientist,Masterarbeit Entwicklung einer Data Journey / REF280985Z,Robert Bosch GmbH,Reutlingen,,Germany,1
Data Scientist,Senior Applied Scientist - Assortment Demand Forecast (all genders),Zalando SE,Berlin,,Germany,1
Data Scientist,Flexikum AI & Data Analytics in der Strategieberatung,Deutsche Telekom AG,Bonn,,Germany,1
Data Scientist,ETL / Data Engineer (m/w/d),committance AG,Montabaur,,Germany,1
Data Scientist,Praktikant Data Analytics und Prozessoptimierung (w/m/x),BMW AG,München,,Germany,1
Data Scientist,Expert Data Analytics Finance / Treasury (m/w/d),exyte Management GmbH,Stuttgart,,Germany,1
Data Scientist,Senior Data / AI Consultant - Hybrid,Rockstar Recruiting AG,München,,Germany,1
Data Scientist,Data Science Experte für Customer Intelligence (m/w/d),R+V Allgemeine Versicherung AG,Wiesbaden,,Germany,1
Data Scientist,SH_Data Strategist & Data Architect im Bereich MR (w/m/d),Siemens AG,Erlangen,,Germany,1
Data Scientist,Senior Data Analytics Engineer (d/m/w/d),Haufe Group SE,Freiburg Im Breisgau,,Germany,1
Data Scientist,Data Analyst (m/w/d),d.velop AG,Meppen,,Germany,1
Data Scientist,Praktikant Predictive Maintenance & Data Analytics (w/m/x),BMW AG,Regensburg,,Germany,1
Data Scientist,Master Data Manager (m/w/d),Bauck GmbH,Rosche,,Germany,1
Data Scientist,Data Engineer/Analyst für Signal Intelligence (m/w/d),Rheinmetall AG,Bremen,,Germany,1
Data Scientist,Master Data Manager (w/m/d),dm-drogerie markt GmbH + Co.KG,Karlsruhe,Baden,Germany,1
Data Scientist,IT Data Architect (m/w/d) - 72/26,Loh Services GmbH & Co. KG,Haiger,,Germany,1
Data Scientist,Data Governance-Manager (w/m/d),WEPTECH elektronik GmbH,Landau In Der Pfalz,,Germany,1
Data Scientist,NTT DATA Deutschland SE: Senior Data Strategy Consultant (w/m/x),NTT DATA Deutschland SE,Köln,,Germany,1
Data Scientist,Senior DevOps Engineer - Data Platform (Kubernetes) (m/w/d),Hays Professional Solutions GmbH Standort Dortmund,Quickborn,Kreis Pinneberg,Germany,1
Data Scientist,Consultant Data Science/ AI (m/w/d),alphaQuest GmbH,Ulm,Donau,Germany,1
Data Scientist,Praktikant / Data Analyst Business Development / Intelligence (m/w/d),Rheinmetall AG,Bremen,,Germany,1
Data Scientist,Data Engineer* - Roche Mannheim,Franz & Wach Personalservice PEN,Mannheim,,Germany,1
